Country,Region,Population,Area,Pop. Density,GDP,Literacy,Agriculture,Industry,Service
Kazakhstan ,C.W. OF IND. STATES ,15233244,2717300,5.6,6300,98.4,0.067,0.386,0.547
Kenya ,SUB-SAHARAN AFRICA                 ,34707817,582650,59.6,1000,85.1,0.163,0.188,0.651
"Korea, North ",ASIA (EX. NEAR EAST)         ,23113019,120540,191.8,1300,99,0.3,0.34,0.36
"Korea, South ",ASIA (EX. NEAR EAST)         ,48846823,98480,496,17800,97.9,0.033,0.403,0.563
Kuwait ,NEAR EAST                          ,2418393,17820,135.7,19000,83.5,0.004,0.479,0.516
Kyrgyzstan ,C.W. OF IND. STATES ,5213898,198500,26.3,1600,97,0.353,0.208,0.439
Laos ,ASIA (EX. NEAR EAST)         ,6368481,236800,26.9,1700,66.4,0.455,0.287,0.258
Latvia ,BALTICS                            ,2274735,64589,35.2,10200,99.8,0.04,0.261,0.699
Lebanon ,NEAR EAST                          ,3874050,10400,372.5,4800,87.4,0.12,0.21,0.67
Lesotho ,SUB-SAHARAN AFRICA                 ,2022331,30355,66.6,3000,84.8,0.163,0.443,0.394
Liberia ,SUB-SAHARAN AFRICA                 ,3042004,111370,27.3,1000,57.5,0.769,0.054,0.177
Libya ,NORTHERN AFRICA                    ,5900754,1759540,3.4,6400,82.6,0.076,0.499,0.425
Liechtenstein ,WESTERN EUROPE                     ,33987,160,212.4,25000,100,0.06,0.39,0.55
Lithuania ,BALTICS                            ,3585906,65200,55,11400,99.6,0.055,0.325,0.62
Luxembourg ,WESTERN EUROPE                     ,474413,2586,183.5,55100,100,0.01,0.13,0.86
Macau ,ASIA (EX. NEAR EAST)         ,453125,28,16183,19400,94.5,0.001,0.072,0.927
Madagascar ,SUB-SAHARAN AFRICA                 ,18595469,587040,31.7,800,68.9,0.276,0.165,0.559
Malawi ,SUB-SAHARAN AFRICA                 ,13013926,118480,109.8,600,62.7,0.342,0.158,0.499
Malaysia ,ASIA (EX. NEAR EAST)         ,24385858,329750,74,9000,88.7,0.084,0.48,0.436
Maldives ,ASIA (EX. NEAR EAST)         ,359008,300,1196.7,3900,97.2,0.2,0.18,0.62
Mali ,SUB-SAHARAN AFRICA                 ,11716829,1240000,9.5,900,46.4,0.45,0.17,0.38
Malta ,WESTERN EUROPE                     ,400214,316,1266.5,17700,92.8,0.03,0.23,0.74
Marshall Islands ,OCEANIA                            ,60422,11854,5.1,1600,93.7,0.317,0.149,0.534
Martinique ,LATIN AMER. & CARIB    ,436131,1100,396.5,14400,97.7,0.06,0.11,0.83
Mauritania ,SUB-SAHARAN AFRICA                 ,3177388,1030700,3.1,1800,41.7,0.25,0.29,0.46
Mauritius ,SUB-SAHARAN AFRICA                 ,1240827,2040,608.3,11400,85.6,0.059,0.298,0.643
Mexico ,LATIN AMER. & CARIB    ,107449525,1972550,54.5,9000,92.2,0.038,0.259,0.702
"Micronesia, Fed. St. ",OCEANIA                            ,108004,702,153.9,2000,89,0.289,0.152,0.559
Moldova ,C.W. OF IND. STATES ,4466706,33843,132,1800,99.1,0.213,0.233,0.555
Mongolia ,ASIA (EX. NEAR EAST)         ,2832224,1564116,1.8,1800,97.8,0.206,0.214,0.58
Morocco ,NORTHERN AFRICA                    ,33241259,446550,74.4,4000,51.7,0.217,0.357,0.426
Mozambique ,SUB-SAHARAN AFRICA                 ,19686505,801590,24.6,1200,47.8,0.262,0.348,0.39
Namibia ,SUB-SAHARAN AFRICA                 ,2044147,825418,2.5,7200,84,0.097,0.315,0.588
Nepal ,ASIA (EX. NEAR EAST)         ,28287147,147181,192.2,1400,45.2,0.38,0.21,0.41
Netherlands ,WESTERN EUROPE                     ,16491461,41526,397.1,28600,99,0.021,0.244,0.736
Netherlands Antilles ,LATIN AMER. & CARIB    ,221736,960,231,11400,96.7,0.01,0.15,0.84
New Caledonia ,OCEANIA                            ,219246,19060,11.5,15000,91,0.15,0.088,0.762
New Zealand ,OCEANIA                            ,4076140,268680,15.2,21600,99,0.043,0.273,0.684
Nicaragua ,LATIN AMER. & CARIB    ,5570129,129494,43,2300,67.5,0.165,0.275,0.56
Niger ,SUB-SAHARAN AFRICA                 ,12525094,1267000,9.9,800,17.6,0.39,0.17,0.44
Nigeria ,SUB-SAHARAN AFRICA                 ,131859731,923768,142.7,900,68,0.269,0.487,0.244
Norway ,WESTERN EUROPE                     ,4610820,323802,14.2,37800,100,0.021,0.415,0.564
Oman ,NEAR EAST                          ,3102229,212460,14.6,13100,75.8,0.027,0.39,0.583
